Year,Ruta,Idestado,Idmunicipio,Idciclo,Idmodalidad,Idcultivo,Sembrada,Volumenproduccion,Precio,Valorproduccion
2018,4,2,2,2,1,7490000,261.5,2499.5,4080.79,10199925
2018,5,1,11,2,2,7490000,1091,589.13,4000,2356520
2018,5,1,11,2,1,7490000,280,2245.06,3530,7925061.8
2018,5,1,10,2,2,7490000,8510,4339.5,4035,17509882.5
2018,5,1,10,2,1,7490000,202,1537.21,3500,5380235
2018,5,1,5,2,2,7490000,731,452.19,4500,2034855
2018,5,1,5,2,1,7490000,181,1303.2,3532.57,4603645.22
2018,5,1,1,2,2,7490000,4632,2685.43,3548.56,9529409.48
2018,5,1,1,2,1,7490000,700,5180,3529.83,18284519.4
2018,6,32,34,2,2,7490000,2781,7455,2980.92,22222758.6
2018,6,32,34,2,1,7490000,397,3195.85,3077.47,9835132.5
2018,6,32,2,2,2,7490000,548,2164.6,3000,6493800
2018,6,32,2,2,1,7490000,309,2533.8,3132.2,7936368.36
2018,6,32,57,2,2,7490000,120,84,4500,378000
2018,6,32,57,2,1,7490000,170,1315,4523.39,5948251.5
2018,6,32,56,2,2,7490000,1600,1152,4500,5184000
2018,6,32,56,2,1,7490000,500,4040,4524.85,18280400
2018,6,32,50,2,2,7490000,230,174.8,4500,786600
2018,6,32,50,2,1,7490000,60,432,4506.67,1946881.44
2018,6,32,32,2,2,7490000,630,452.4,4500,2035800
2018,6,32,32,2,1,7490000,80,640,4518.75,2892000
2018,6,32,17,2,2,7490000,1000,700,4500,3150000
2018,6,32,17,2,1,7490000,480,3829.2,4535.42,17367023.15
2018,6,32,13,2,2,7490000,750,577.5,4500,2598750
2018,6,32,13,2,1,7490000,80,608,4500,2736000
2018,6,32,5,2,2,7490000,950,617.5,4500,2778750
2018,6,32,5,2,1,7490000,288,2481.77,4500,11167965
2018,6,32,26,2,1,7490000,132,541.2,4900,2651880
2018,6,32,7,2,1,7490000,135,1147.5,5300,6081750
2018,6,32,55,2,1,7490000,197,1640,3795.16,6224062.96
2018,6,32,31,2,2,7490000,2100,16323,4004.16,65359964.49
2018,6,32,20,2,1,7490000,381,3394.9,3607.41,12246790
2018,6,32,48,2,1,7490000,336,3024,4000,12096000
2018,6,32,47,2,2,7490000,2630,9150,3613.31,33061786.5
2018,6,32,45,2,1,7490000,146,1314,4000,5256000
2018,6,32,30,2,2,7490000,810,3078,3750,11542500
2018,6,32,30,2,1,7490000,33,297,4000,1188000
2018,6,32,11,2,2,7490000,1200,5640,3650,20586000
2018,6,32,4,2,2,7490000,1776,6992,3365.05,23528429.6
2018,6,32,3,2,2,7490000,1746,5857,3696.4,21649814.8
2018,6,32,54,2,2,7490000,3195,1086.3,4320,4692816
2018,6,32,54,2,1,7490000,800,2824,4355,12298520
2018,6,32,53,2,2,7490000,4084,1468.8,5140,7549632
2018,6,32,53,2,1,7490000,174,600.3,3280,1968984
2018,6,32,38,2,1,7490000,879,3164.4,4210,13322124
2018,6,32,16,2,2,7490000,4565,1643.4,5100,8381340
2018,6,32,16,2,1,7490000,782,2697.9,4360,11762844
2018,6,32,39,2,2,7490000,2214,4284.09,3589.49,15377698.21
2018,6,32,39,2,1,7490000,778,3112,5100,15871200
2018,6,32,29,2,2,7490000,1445,2167.5,3309.69,7173753.08
2018,6,32,29,2,1,7490000,96,384,5100,1958400
2018,6,32,22,2,2,7490000,1650,2805,4734.22,13279487.1
2018,6,32,22,2,1,7490000,125,475,5100,2422500
2018,6,32,14,2,2,7490000,3500,3850,3213.77,12373014.5
2018,6,32,49,2,2,7490000,9280,11520,3578.66,41226163.2
2018,6,32,49,2,1,7490000,175,1228,3500,4298000
2018,6,10,37,2,2,7490000,1406,1242.44,3404.94,4230431.48
2018,6,10,37,2,1,7490000,301,846.81,3420.2,2896259.56
2018,6,10,35,2,2,7490000,4520,4129.1,3480.13,14369823.6
2018,6,10,35,2,1,7490000,601,2005,3420.03,6857160.15
2018,6,10,2,2,2,7490000,1702,1392.38,3480,4845482.4
2018,6,10,2,2,1,7490000,10,42.1,3490,146929
2018,6,10,17,2,2,7490000,827,638.2,3490,2227318
2018,6,10,17,2,1,7490000,265.5,805.75,3820,3077965
2018,6,10,31,2,1,7490000,140,1120,4500,5040000
2018,6,10,21,2,1,7490000,202,1393.8,4700,6550860
2018,6,10,4,2,1,7490000,35,78.75,4500,354375
2018,6,10,26,2,2,7490000,2865,3151.5,4150,13078725
2018,6,8,14,2,1,7490000,26,93.6,4300,402480
2018,6,8,60,2,2,7490000,420,226.8,4500,1020600
2018,6,8,60,2,1,7490000,90,432,4600,1987200
2018,6,8,59,2,2,7490000,215,96.75,4200,406350
2018,6,8,44,2,2,7490000,350,122.5,4200,514500
2018,6,8,44,2,1,7490000,605,3509,4800,16843200
2018,6,8,32,2,2,7490000,40,20,4550,91000
2018,6,8,3,2,2,7490000,773,270.55,4550,1231002.5
2018,6,8,3,2,1,7490000,231.5,972.3,4550,4423965
2018,6,8,7,2,2,7490000,3600,1296,4688.89,6076800
2018,6,8,7,2,1,7490000,110,477,4463.1,2128900
2018,6,8,46,2,2,7490000,187,193.04,3755.2,724904
2018,6,8,41,2,2,7490000,313,328.84,3742.76,1230770
2018,6,8,9,2,2,7490000,5210,5910.2,3680,21749536
2018,6,8,8,2,2,7490000,965,1078.9,3880,4186132
2018,6,8,19,2,1,7490000,1330,15480,3400,52632000
2018,6,8,31,2,2,7490000,2093,2513.75,3251.07,8172375
2018,6,8,31,2,1,7490000,5425,50700,3301.72,167397448
2018,6,8,17,2,2,7490000,4650,3887.1,3424.06,13309650
2018,6,8,17,2,1,7490000,10280,120792.5,3410.4,411950726.3
2018,6,8,40,2,2,7490000,15100,20530,3740.49,76792272
2018,6,8,40,2,1,7490000,1515,13312.5,3644.38,48515750
2018,6,8,10,2,1,7490000,280,2586,3458.82,8944508.52
2018,6,8,23,2,1,7490000,1125,11250,3460,38925000
2018,6,8,10,2,1,7490000,8435,86018.8,3603.89,310002597.4
2018,6,8,50,2,1,7490000,2750,30696,3484.14,106949251.2
2018,6,8,13,2,2,7490000,120,69.6,3000,208800
2018,6,8,13,2,1,7490000,300,3257.75,3431.39,11178615.15
2018,6,5,4,2,2,7490000,4044,3033,3054.18,9263327.94
2018,6,5,4,2,1,7490000,582,2141.76,3071.98,6579443.88
2018,6,5,18,2,2,7490000,42,40.32,3420,137894.4
2018,6,5,18,2,1,7490000,16,36,3431.92,123549.12
2018,6,5,10,2,2,7490000,34,31.28,3410,106664.8
2018,6,5,10,2,1,7490000,40,95.2,3468.3,330182.16
2018,6,5,6,2,2,7490000,228.5,217.07,3550,770598.5
2018,6,5,5,2,2,7490000,37,34.41,3450,118714.5
2018,6,5,5,2,1,7490000,10,23.6,3600,84960
2018,6,5,32,2,2,7490000,9.5,5.7,2980,16986
2018,6,5,32,2,1,7490000,52.5,99.75,3215.04,320700.24
2018,6,5,28,2,2,7490000,2.5,1.75,2950,5162.5
2018,6,5,28,2,1,7490000,24.5,41.65,3300,137445
2018,6,5,14,2,2,7490000,54,64.8,3148.05,203993.64
2018,6,5,14,2,1,7490000,188.5,395.85,3385.31,1340074.96
2018,6,5,2,2,1,7490000,121.5,278.23,3383.71,941449.63
2018,2,30,58,1,2,7490000,10557,15624.36,3891,60794384.76
2018,2,30,27,1,2,7490000,4896,6854.4,3987,27328492.8
2018,2,30,61,1,2,7490000,7250,17055,3866,65934630
2018,2,30,172,1,2,7490000,6824,21255.94,3392.79,72116940.67
2018,2,30,145,1,2,7490000,712,2004.37,3270.6,6555492.52
2018,2,30,120,1,2,7490000,156,360.36,3165.28,1140640.3
2018,2,30,89,1,2,7490000,3276,10204.35,3514.55,35863698.29
2018,2,30,59,1,2,7490000,702,1997.39,3078.83,6149624.25
2018,2,30,143,1,2,7490000,2940,8670,3690.64,31997848.8
2018,2,30,141,1,2,7490000,8530,24858,3719.67,92463556.86
2018,2,30,32,1,2,7490000,1060,3180,3692.69,11742754.2
2018,2,30,208,1,2,7490000,157,637.42,4007,2554141.94
2018,2,30,207,1,2,7490000,751,3004,4019,12073076
2018,2,30,190,1,2,7490000,83,354.41,4005,1419412.05
2018,2,30,176,1,2,7490000,261,1127.52,4003,4513462.56
2018,2,30,119,1,2,7490000,62,265.98,4010,1066579.8
2018,2,30,54,1,2,7490000,252,1025.64,4016,4118970.24
2018,2,30,45,1,2,7490000,556,2246.24,4025,9041116
2018,2,30,193,1,2,7490000,22,103.4,4535,468919
2018,2,30,105,1,2,7490000,115,506,4535,2294710
2018,2,30,11,1,2,7490000,55,253,4535,1147355
2018,2,30,62,1,2,7490000,9,18,4822.22,86799.96
2018,2,30,44,1,2,7490000,11,22,4781.82,105200.04
2018,2,30,14,1,2,7490000,4,6.31,4596.64,29004.81
2018,2,30,182,1,2,7490000,50,75,3500,262500
2018,2,30,65,1,2,7490000,45,225,3640,819000
2018,2,30,211,1,2,7490000,140,350,3854.57,1349099.5
2018,2,30,183,1,2,7490000,110,242,3925.54,949980.68
2018,2,30,102,1,2,7490000,170,416.5,3857.26,1606548.79
2018,2,30,23,1,2,7490000,2850,6555,4081.74,26755805.7
2018,2,30,189,1,2,7490000,3150,7875,4205.47,33118076.25
2018,2,30,151,1,2,7490000,2080,4160,4489.37,18675779.2
2018,2,30,202,1,2,7490000,1045,1413.24,4260,6020402.4
2018,2,30,198,1,2,7490000,216,292.56,4293,1255960.08
2018,2,30,170,1,2,7490000,718,983.66,4310,4239574.6
2018,2,30,76,1,2,7490000,965,1350.01,4330,5845543.3
2018,2,30,72,1,2,7490000,90,98.2,4250,417350
2018,2,27,8,1,2,7490000,3870,8668.8,3984.3,34539099.84
2018,2,27,16,1,2,7490000,348,930,3982.1,3703353
2018,2,23,4,1,2,7490000,1310,1074.2,3713.58,3989127.64
2018,2,21,216,1,2,7490000,212,285.8,3519.45,1005858.81
2018,2,21,215,1,2,7490000,120,167.5,3655.27,612257.73
2018,2,21,210,1,2,7490000,155,239.5,3671.34,879285.93
2018,2,21,207,1,2,7490000,250,375,3744.8,1404300
2018,2,21,202,1,2,7490000,375,570,3771.26,2149618.2
2018,2,21,192,1,2,7490000,545,871,3528.38,3073218.98
2018,2,21,107,1,2,7490000,690,979.3,3606,3531355.8
2018,2,21,101,1,2,7490000,180,270,3799.38,1025832.6
2018,2,21,88,1,2,7490000,565,968.1,3588.6,3474123.66
2018,2,21,84,1,2,7490000,335,417.2,3581.07,1494022.4
2018,2,21,80,1,2,7490000,166,207.2,3665.94,759582.77
2018,2,21,78,1,2,7490000,440,615.7,3645.97,2244823.73
2018,2,21,77,1,2,7490000,505,655.2,3701.2,2425026.24
2018,2,21,72,1,2,7490000,575,832.1,3674.28,3057368.39
